Tanggal Pemerahan,Kode Sapi,Jumlah Pakan,Suhu,Umur,Berat Badan,Produksi Susu,Rekomendasi
2025-05-15,SAPI04,30.0,25.0,7.0,592.0,8.61,"🌡️ Suhu ideal untuk produksi susu. | 🥬 Pakan ideal untuk sapi dewasa. | 🐮 Umur tua, produksi mungkin menurun. | ⚖️ Berat badan ideal."
2025-05-15,SAPI01,38.2,29.5,5.0,564.0,14.34,"🌡️ Suhu terlalu tinggi, perbesar ventilasi dan siram lantai/tubuh sapi. | 🥬 Pakan ideal untuk sapi dewasa. | 🐮 Masa pertumbuhan menuju produktif. | ⚖️ Berat badan ideal."
2025-05-15,SAPI07,0.0,0.0,7.0,569.0,2.73,"🌡️ Suhu terlalu rendah, tambahkan jerami dan tutup celah angin. | 🥬 Pakan kurang untuk sapi dewasa. | 🐮 Umur tua, produksi mungkin menurun. | ⚖️ Berat badan ideal."
2025-05-15,SAPI01,38.2,29.5,5.0,564.0,14.34,"🌡️ Suhu terlalu tinggi, perbesar ventilasi dan siram lantai/tubuh sapi. | 🥬 Pakan ideal untuk sapi dewasa. | 🐮 Masa pertumbuhan menuju produktif. | ⚖️ Berat badan ideal."
2025-05-15,SAPI01,38.2,29.5,5.0,564.0,14.34,"🌡️ Suhu lingkungan panas (29°C – 31°C). Siram lantai dan tubuh sapi 3 kali sehari (pagi, siang, sore) dan pastikan ventilasi maksimal. | 🥬 Jumlah pakan sudah sesuai untuk sapi dewasa. | 🐮 Sapi berada di masa produksi puncak. Pertahankan kualitas pakan dan perawatan. | ⚖️ Berat badan sapi sudah ideal, pertahankan pola makan dan perawatan."
2025-05-15,SAPI01,29.2,26.0,5.0,564.0,12.84,"🌡️ Suhu lingkungan cukup panas (26°C – 28°C). Tingkatkan ventilasi dan siram lantai serta tubuh sapi 2 kali sehari (pagi & siang) untuk menjaga suhu tubuh. | 🥬 Untuk sapi dewasa, tambahkan pakan minimal 30 kg per hari. | 🐮 Sapi berada di masa produksi puncak. Pertahankan kualitas pakan dan perawatan. | ⚖️ Berat badan sapi sudah ideal, pertahankan pola makan dan perawatan."
2025-05-15,SAPI01,29.0,39.0,5.0,564.0,13.09,"🌡️ Suhu lingkungan ekstrem (> 34°C). Siram lantai dan tubuh sapi setiap 2–3 jam, terutama siang hari, dan pastikan ventilasi terbuka maksimal untuk menghindari stres panas. | 🥬 Untuk sapi dewasa, tambahkan pakan minimal 30 kg per hari. | 🐮 Sapi berada di masa produksi puncak. Pertahankan kualitas pakan dan perawatan. | ⚖️ Berat badan sapi sudah ideal, pertahankan pola makan dan perawatan."
2025-05-15,SAPI01,24.0,38.0,5.0,564.0,12.27,"🌡️ Suhu lingkungan ekstrem (> 34°C). Siram lantai dan tubuh sapi setiap 2–3 jam, terutama siang hari, dan pastikan ventilasi terbuka maksimal untuk menghindari stres panas. | 🥬 Untuk sapi dewasa, tambahkan pakan minimal 30 kg per hari. | 🐮 Sapi berada di masa produksi puncak. Pertahankan kualitas pakan dan perawatan. | ⚖️ Berat badan sapi sudah ideal, pertahankan pola makan dan perawatan."
2025-05-17,SAPI02,30.0,29.5,8.0,573.0,5.94,"🌡️ Suhu lingkungan panas (29°C – 31°C). Siram lantai dan tubuh sapi 3 kali sehari (pagi, siang, sore) dan pastikan ventilasi maksimal. | 🥬 Jumlah pakan sudah sesuai untuk sapi dewasa. | 🐮 Sapi mulai memasuki masa tua. Produksi bisa menurun, pastikan kesehatannya terjaga. | ⚖️ Berat badan sapi sudah ideal, pertahankan pola makan dan perawatan."
2025-05-15,SAPI01,34.0,12.0,5.0,564.0,13.15,"🌡️ Suhu lingkungan terlalu dingin (< 20°C). Tambahkan jerami untuk insulasi dan tutup celah angin agar sapi tetap hangat dan tidak stres. | 🥬 Jumlah pakan sudah sesuai untuk sapi dewasa. | 🐮 Sapi berada di masa produksi puncak. Pertahankan kualitas pakan dan perawatan. | ⚖️ Berat badan sapi sudah ideal, pertahankan pola makan dan perawatan."
2025-05-15,SAPI01,35.0,28.0,5.0,564.0,13.8,"🌡️ Suhu lingkungan cukup panas (26°C – 28°C). Tingkatkan ventilasi dan siram lantai serta tubuh sapi 2 kali sehari (pagi & siang) untuk menjaga suhu tubuh. | 🥬 Jumlah pakan sudah sesuai untuk sapi dewasa. | 🐮 Sapi berada di masa produksi puncak. Pertahankan kualitas pakan dan perawatan. | ⚖️ Berat badan sapi sudah ideal, pertahankan pola makan dan perawatan."
2025-05-15,SAPI01,30.0,28.0,5.0,564.0,13.03,"🌡️ Suhu lingkungan cukup panas (26°C – 28°C). Tingkatkan ventilasi dan siram lantai serta tubuh sapi 2 kali sehari (pagi & siang) untuk menjaga suhu tubuh. | 🥬 Jumlah pakan sudah sesuai untuk sapi dewasa. | 🐮 Sapi berada di masa produksi puncak. Pertahankan kualitas pakan dan perawatan. | ⚖️ Berat badan sapi sudah ideal, pertahankan pola makan dan perawatan."
2025-05-15,SAPI01,30.0,28.0,5.0,564.0,12.93,"🌡️ Suhu lingkungan cukup panas (26°C – 28°C). Tingkatkan ventilasi dan siram lantai serta tubuh sapi 2 kali sehari (pagi & siang) untuk menjaga suhu tubuh. | 🥬 Jumlah pakan sudah sesuai untuk sapi dewasa. | 🐮 Sapi berada di masa produksi puncak. Pertahankan kualitas pakan dan perawatan. | ⚖️ Berat badan sapi sudah ideal, pertahankan pola makan dan perawatan."
2025-05-15,SAPI01,30.0,26.0,5.0,564.0,12.87,"🌡️ Suhu lingkungan cukup panas (26°C – 28°C). Tingkatkan ventilasi dan siram lantai serta tubuh sapi 2 kali sehari (pagi & siang) untuk menjaga suhu tubuh. | 🥬 Jumlah pakan sudah sesuai untuk sapi dewasa. | 🐮 Sapi berada di masa produksi puncak. Pertahankan kualitas pakan dan perawatan. | ⚖️ Berat badan sapi sudah ideal, pertahankan pola makan dan perawatan."
2025-05-15,SAPI01,20.0,35.0,5.0,564.0,11.5,"🌡️ Suhu lingkungan ekstrem (> 34°C). Siram lantai dan tubuh sapi setiap 2–3 jam, terutama siang hari, dan pastikan ventilasi terbuka maksimal untuk menghindari stres panas. | 🥬 Untuk sapi dewasa, tambahkan pakan minimal 30 kg per hari. | 🐮 Sapi berada di masa produksi puncak. Pertahankan kualitas pakan dan perawatan. | ⚖️ Berat badan sapi sudah ideal, pertahankan pola makan dan perawatan."
2025-05-15,SAPI01,30.0,29.4,5.0,364.0,5.77,"🌡️ Suhu lingkungan panas (29°C – 31°C). Siram lantai dan tubuh sapi 3 kali sehari (pagi, siang, sore) dan pastikan ventilasi maksimal. | 🥬 Jumlah pakan sudah sesuai untuk sapi dewasa. | 🐮 Sapi berada di masa produksi puncak. Pertahankan kualitas pakan dan perawatan. | ⚖️ Berat badan sapi sudah ideal, pertahankan pola makan dan perawatan."
2025-05-15,SAPI01,38.2,29.5,5.0,564.0,14.16,"🌡️ Suhu lingkungan panas (29°C – 31°C). Siram lantai dan tubuh sapi 3 kali sehari (pagi, siang, sore) dan pastikan ventilasi maksimal. | 🥬 Jumlah pakan sudah sesuai untuk sapi dewasa. | 🐮 Sapi berada di masa produksi puncak. Pertahankan kualitas pakan dan perawatan. | ⚖️ Berat badan sapi sudah ideal, pertahankan pola makan dan perawatan."
2025-05-15,SAPI01,30.0,28.0,30.0,560.0,-48.27,"🌡️ Suhu lingkungan cukup panas (26°C – 28°C). Tingkatkan ventilasi dan siram lantai serta tubuh sapi 2 kali sehari (pagi & siang) untuk menjaga suhu tubuh. | 🥬 Jumlah pakan sudah sesuai untuk sapi dewasa. | 🐮 Sapi sudah tua. Produksi susu cenderung rendah, perhatikan pola makan dan kesehatan. | ⚖️ Berat badan sapi sudah ideal, pertahankan pola makan dan perawatan."
2025-05-15,SAPI01,30.0,28.0,5.0,564.0,12.84,"🌡️ Suhu lingkungan cukup panas (26°C – 28°C). Tingkatkan ventilasi dan siram lantai serta tubuh sapi 2 kali sehari (pagi & siang) untuk menjaga suhu tubuh. | 🥬 Jumlah pakan sudah sesuai untuk sapi dewasa. | 🐮 Sapi berada di masa produksi puncak. Pertahankan kualitas pakan dan perawatan. | ⚖️ Berat badan sapi sudah ideal, pertahankan pola makan dan perawatan."
2025-05-15,SAPI01,30.0,28.0,5.0,564.0,12.84,"🌡️ Suhu lingkungan cukup panas (26°C – 28°C). Tingkatkan ventilasi dan siram lantai serta tubuh sapi 2 kali sehari (pagi & siang) untuk menjaga suhu tubuh. | 🥬 Jumlah pakan sudah sesuai untuk sapi dewasa. | 🐮 Sapi berada di masa produksi puncak. Pertahankan kualitas pakan dan perawatan. | ⚖️ Berat badan sapi sudah ideal, pertahankan pola makan dan perawatan."
2025-05-15,SAPI01,30.0,28.0,5.0,564.0,13.03,"🌡️ Suhu lingkungan cukup panas (26°C – 28°C). Tingkatkan ventilasi dan siram lantai serta tubuh sapi 2 kali sehari (pagi & siang) untuk menjaga suhu tubuh. | 🥬 Jumlah pakan sudah sesuai untuk sapi dewasa. | 🐮 Sapi berada di masa produksi puncak. Pertahankan kualitas pakan dan perawatan. | ⚖️ Berat badan sapi sudah ideal, pertahankan pola makan dan perawatan."
2025-05-16,SAPI02,18.0,28.0,7.7,573.0,4.32,"🌡️ Suhu lingkungan cukup panas (26°C – 28°C). Tingkatkan ventilasi dan siram lantai serta tubuh sapi 2 kali sehari (pagi & siang) untuk menjaga suhu tubuh. | 🥬 Untuk sapi dewasa, tambahkan pakan minimal 30 kg per hari. | 🐮 Sapi mulai memasuki masa tua. Produksi bisa menurun, pastikan kesehatannya terjaga. | ⚖️ Berat badan sapi sudah ideal, pertahankan pola makan dan perawatan."
